Institute,{'https://oria.gatech.edu/', 'https://www.cc.gatech.edu/event/group/institute-people-and-technology-ipat', 'https://oria.gatech.edu/export-control', 'https://gov.gatech.edu/innovation-partners', 'https://gov.gatech.edu/georgia-techs-strategic-energy-internship', 'https://gov.gatech.edu/vote', 'https://transformation.gatech.edu', 'https://gov.gatech.edu/economic-development', 'https://gov.gatech.edu/', 'https://www.cc.gatech.edu/event/group/institute-data-engineering-and-science-ideas', 'https://gov.gatech.edu/internship-opportunities', 'https://www.cc.gatech.edu/event/group/institute-robotics-and-intelligent-machines-irim', 'https://gov.gatech.edu/state/capitol-jackets-advocacy-network/how'}
for,{'https://gov.gatech.edu/state/capitol-jackets-advocacy-network/how', 'https://www.cc.gatech.edu/event/group/institute-people-and-technology-ipat', 'https://www.cc.gatech.edu/event/group/institute-robotics-and-intelligent-machines-irim', 'https://www.cc.gatech.edu/event/group/institute-data-engineering-and-science-ideas'}
Data,{'https://www.cc.gatech.edu/event/group/institute-data-engineering-and-science-ideas'}
(IDEaS),{'https://www.cc.gatech.edu/event/group/institute-data-engineering-and-science-ideas'}
Working,{'https://hr.gatech.edu/working-tech-arrangement'}
@Tech,{'https://hr.gatech.edu/working-tech-arrangement'}
Arrangement,{'https://hr.gatech.edu/working-tech-arrangement'}
Flexwork,{'https://policylibrary.gatech.edu/employment/flexwork-arrangements', 'https://hr.gatech.edu/flexwork-guidelines'}
Arrangements,{'https://policylibrary.gatech.edu/employment/flexwork-arrangements'}
Policy,{'https://policylibrary.gatech.edu/employment/flexwork-arrangements', 'https://policylibrary.gatech.edu/employment/workers-compensation'}
Library,{'https://policylibrary.gatech.edu/employment/flexwork-arrangements', 'https://policylibrary.gatech.edu/employment/workers-compensation'}
osp,{'https://osp.gatech.edu/'}
Office,{'https://oria.gatech.edu/', 'https://oria.gatech.edu/export-control', 'https://osp.gatech.edu/research-gifts', 'https://www.cc.gatech.edu/office-development', 'https://osp.gatech.edu/'}
Sponsored,{'https://grants.gatech.edu/The-Problems-with-Overspending-on-Sponsored-Awards', 'https://osp.gatech.edu/', 'https://osp.gatech.edu/research-gifts'}
Programs,{'https://osp.gatech.edu/', 'https://osp.gatech.edu/research-gifts'}
Global,{'https://www.cc.gatech.edu/news/648961/new-global-top-5-ranking-based-faculty-research-success'}
Top-5,{'https://www.cc.gatech.edu/news/648961/new-global-top-5-ranking-based-faculty-research-success'}
Ranking,{'https://www.cc.gatech.edu/news/648961/new-global-top-5-ranking-based-faculty-research-success'}
Based,{'https://www.cc.gatech.edu/news/648961/new-global-top-5-ranking-based-faculty-research-success'}
Success,{'https://www.cc.gatech.edu/news/648961/new-global-top-5-ranking-based-faculty-research-success'}
Directory,{'https://www.cc.gatech.edu/people?page=66', 'https://www.cc.gatech.edu/people?page=11', 'https://www.cc.gatech.edu/people', 'https://www.cc.gatech.edu/people?page=12', 'https://www.cc.gatech.edu/people?page=8'}
Worker's,{'https://policylibrary.gatech.edu/book/export/html/1172', 'https://policylibrary.gatech.edu/employment/workers-compensation'}
Compensation,{'https://policylibrary.gatech.edu/book/export/html/1172', 'https://policylibrary.gatech.edu/employment/workers-compensation'}
Guidelines,{'https://hr.gatech.edu/flexwork-guidelines'}
Gifts,{'https://osp.gatech.edu/research-gifts'}
Privacy,{'https://scp.cc.gatech.edu/'}
HR,{'https://adminx.gatech.edu/hr'}
Transformation,{'https://transformation.gatech.edu', 'https://adminx.gatech.edu/hr'}
Administrative,{'https://adminx.gatech.edu/hr'}
Excellence,{'https://adminx.gatech.edu/hr'}
Power,{'https://apps.powerapps.com/play/e/default-482198bb-ae7b-4b25-8b7a-6d7f32faa083/a/e3fd0b89-566a-405e-a410-34aa9100dba0?tenantId=482198bb-ae7b-4b25-8b7a-6d7f32faa083&hidenavbar=true'}
Apps,{'https://apps.powerapps.com/play/e/default-482198bb-ae7b-4b25-8b7a-6d7f32faa083/a/e3fd0b89-566a-405e-a410-34aa9100dba0?tenantId=482198bb-ae7b-4b25-8b7a-6d7f32faa083&hidenavbar=true'}
Forms,{'https://hr.gatech.edu/georgia-tech-human-resources-forms-and-guides'}
Guides,{'https://hr.gatech.edu/georgia-tech-human-resources-forms-and-guides'}
